company_name,url,job_name,city,salary,experience,company_area,company_size,description
华壹信融投资管理(北京)有限责任公司,https://jobs.zhaopin.com/CC240509239J00244644410.htm,投资数据分析专员,北京,8001-10000元/月,1-3年,基金/证券/期货/投资,100-499人,"具体职位描述：
1.严格执行公司各项制度，并定期辅助分析数据市场行情走势，向上级领导汇报结果；
2.按照部门[联系人已脱敏]行技术和基本面的分析，进行数据的搜集和整理；
3.配合其他部门有关工作；
4.遵守公司的各项管理制度，承办领导交办的其他工作。
岗位要求：
1.性格开朗，诚实守信、踏实勤奋，工作积极主动；
2.沟通表达能力强，较强的团队意识和协作精神；
3.能承受较强的工作压力,且有强烈的上进心。
4.家中有电脑，并对电脑基本操作熟练
5有相关工作经验者、相关专业、从业相关证件者优先录取；"
北京德赢投资管理有限公司,https://jobs.zhaopin.com/CC330466430J00281913509.htm,数据分析,北京,10001-15000元/月,1-3年,,全部,任职要求： 1、 有想法，够犀利； 2、 有野心，求上进； 3、 自控力，不贪利； 4、 归属感，有责任。 岗位职责： 1、分析行业相关信息，配合其他部门对数据进行整理分析，给出策略。 2、执行公司各项制度，并定期收集市场各数据，整理分析结果。 3、按照各部门的要求，进行技术分析和基本面规律分析、 4、配合其他部门工作需要，做好各部门间协调工作。175
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00229682913.htm,数据分析专员,北京,8001-10000元/月,不限,"基金/证券/期货/投资,银行",20-99人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通；
2、有相关工作经验者、相关专业、有从业相关证件者优先录取；
3、认同公司的发展理念，愿意与公司共同发展，具有很强的工作责任心和团队合作精神；
4、为人诚实，具有责任心、上进心，较强的执行力。"
中金鼎弘资产管理(北京)有限公司,https://jobs.zhaopin.com/CC881884330J00230770113.htm,数据分析助理,北京,8001-10000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"任职要求:

1.本科及以上学历，统计、数理等相关专业，工作经验1年及以下，若为应届生则择优录取。
2.具有良好的沟通协调能力、细致、敬业、乐于思考。
3.具备较好的理论基础，数字敏感性较强，能够熟练运用word、excel等办公软件，具有较强的数据解析能力和写作功底；
4.精力充沛，执行力强，踏实肯干，细致认真，具有良好的团队精神、沟通协调能力及强烈的责任心，具有较强的市场拓展能力和防范意识；
5.乐观、积极、有冲劲，热爱本行业，有较好的抗压能力；
福利待遇：
1.无责任底薪+高提成+绩优奖金+月度旅游+五险一金；
2.带薪假期，享受国家法定假日；
3.公司活动，文艺活动，体育活动，聚餐以及国内外旅游；
4.提供岗位晋升空间,横向纵向均可；"
亿家宏业(北京)信息咨询有限公司,https://jobs.zhaopin.com/CC890266710J00241120715.htm,数据分析师五险一金双休,北京,10001-15000元/月,1-3年,基金/证券/期货/投资,100-499人,"技能要求：
风险审核 家宏业有限公司创立于2010年。作为国内的新锐资本机构，亿家宏业坐拥北京CBD核心区，公司团队由来自海外或有多年丰富经验的专业精英组成，亿家宏业立志缔造企业品牌价值，以客户服务为主导，为员工、客户创富增值。 岗位职责： 1.严格执行公司各项制度，并定期辅助分析数据市场行情走势，向上级领导汇报结果； 2.按照部门[联系人已脱敏]行技术和基本面的分析，进行数据的搜集和整理； 3.配合其他部门有关工作； 4.遵守公司的各项管理制度，承办领导交办的其他工作。
岗位要求： 1.25-55周岁,性别不限，退伍军人先考虑； 2.性格开朗，诚实守信、踏实勤奋，工作积极主动； 3.沟通表达能力强，较强的团队意识和协作精神； 4.能承受较强的工作压力,且有强烈的上进心。 5.家中有电脑，并对电脑基本操作熟练
薪资待遇： 1、无责底薪8000 ＋ 岗位分红50% + 五险一金 + 周末双休 + 交通补助 + 年底双薪 + 全勤奖 + 员工每年出国旅游 + 生日福利 + 节日福利 + 靠近地铁交通便利
2、普通员工月收益可达8K-20K左右 3、完整的晋升空间，每三个月有一次晋升机会，每次薪资涨幅4000-5000不等 4、有能力者可出国深造
福利待遇： 1、弹性的工作，让你的工作时间及地点自由安排； 2、提供各种高大上下午茶及零食； 3、各种高端大气上档次的团队建设； 4、最重要的是来到这里，你将拥有最广阔的职业发展空间，最充足的资源支持，只要你可做，就有机会成为部门leader进而走进公司高级管理层。
公司培养团队的优势：
1、专业的团队采用紧缩小课模式手把手教会您市场的博弈论，实现道与术相结合的本领。
2、精髓是利用禅学中枢理论来把握市场波动的本质规律——自然界中自相似性的分形几何规律，任何个人、机构都逃不掉此规律。
3、实战型监导：“做我所讲，讲我所做。”将理论和实践紧密结合在一起。
直接投递简历，公司会当天审核，审核通过后会（通过面试邀约短信方式）通知面试"
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00229707813.htm,金融数据分析师 双休,北京,10001-15000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通
2、为人诚实，具有责任心、上进心，较强的执行力。
3、接受大学生在校实习、退伍军人与应届毕业生优先录取；

4、有相关工作经验者、相关专业、有从业相关证件者优先录取；
岗位职责：
1、搜集行业相关信息，为相关需求者提供更准确的数据信息；
2、协助部门[联系人已脱敏]管理制度；
3、定期为公司提供市场最新趋势；

4、结合多种数据源进行深度分析和挖掘；"
北京雍贵联合投资有限公司,https://jobs.zhaopin.com/CC308028988J00189271809.htm,数据分析师助理 ,北京,8001-10000元/月,不限,基金/证券/期货/投资,500-999人,"任职要求：
1、年龄：20-45岁，五官端正，无不良嗜好；
2、性格开朗，责任心强，遵守纪律，反应灵敏，执行力强；
3、有岗位经验者、相关从业证件者优先录取；
4、相关专业、相关经验优先录取；
5、接受大学生在校实习、退伍军人与应届毕业生优先录取"
亿家宏业(北京)信息咨询有限公司,https://jobs.zhaopin.com/CC890266710J00241322415.htm,金融数据分析师助理/投资助理、,北京,10001-15000元/月,不限,基金/证券/期货/投资,100-499人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通；
2、为人诚实，具有责任心、上进心，较强的执行力。
3、接受大学生在校实习、退伍军人与应届毕业生优先录取；提供岗前培训；
4、认真实践备入职前的试岗培训
5、有相关工作经验者、相关专业、有从业相关证件者优先录取；
6、热爱行业，有励志于长期发展这个行业的意愿，接受专业学习培训和模拟训练；
7、以协助公司持续稳定盈利为最高目标，有志成为业内精英人才；
8、敢于迎接挑战、不怕辛苦、积极完成公司交赋的工作任务；
9、认同公司的发展理念，愿意与公司共同发展，具有很强的工作责任心和团队合作精神；
10、对行业和理财有浓厚的兴趣及意愿，致力于把行业作为事业发展方向。
11、具有良好的人品与职业操守，踏实、细致的工作作风；
12、能及时、准确、圆满、出色的完成本职工作以及领导交给的其它工作；
岗位职责：
1、协助分析师搜集行业相关信息，为相关需求者提供更准确的数据信息；
2、协助部门[联系人已脱敏]管理制度；
4、协助分析师对基本面、技术面进行分析研究，给出走势分析和判断，撰写研究报告上交公司；
5、协助分析师分析走势，为相关部门提供有价值的信息；
6、丰富市场分析能力，协助分析师做出每日分析计划，熟练掌握各种分析技术；
7、协助分析师定期为公司提供市场最新趋势；
薪资待遇：
无责底薪：6K-10K+利润提成10%-30%
员工福利：
1、五险一金 朝九晚五 六日双休 食宿补助 交通补助；
2、每年不定期多次带薪休假，每月享有带薪病假，休息时也会有工资拿；
3、弹性的工作时间，让你工作自由安排；提供各种高大上下午茶及零食；
4、公司每年组织员工境外或境内旅游，专属每位员工的生日派对、礼物；
5、全体员工享有带薪婚假、病假、产假。休息时工资照常发放；
6、公司为每位员工提供生日惊喜，[联系方式已脱敏]，生日礼物等；
7、全体员工每年享受两次公费境内旅游，优秀员工一次境外旅游；
8、下班后一起狼人杀、带你上王者、带你去吃鸡；
9、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；
10、各种高端大气上档次的团队建设、野外拓展；
11、年会时井喷式发放各种奖品、奖金、拿到你手软；
晋升空间：
1、公司有广阔的晋升空间，薪资晋升、职位晋升；可纵向、横向晋升；
2、公司会有相关制度上的考核，每季度可进行一次晋升考核；
3、根据个人日常工作表现、学习能力、工作能力、工作态度、执行能力、考勤制度而定；
4、能力达到岗位标准时，公司会着重培养管理能力，为其组建团队，培养人才；
5、根据职位的晋升，薪资也会有相应的涨幅，具体需参考入职公司后的日常表现以及工作能力；"
北京雍贵联合投资有限公司,https://jobs.zhaopin.com/CC308028988J00189267409.htm,数据分析师,北京,10001-15000元/月,不限,基金/证券/期货/投资,500-999人,"任职要求：
1、年龄：20-45岁，五官端正，无不良嗜好；
2、性格开朗，责任心强，遵守纪律，反应灵敏，执行力强；
3、有岗位经验者、相关从业证件者优先录取；
4、相关专业、相关经验优先录取；
5、接受大学生在校实习、退伍军人与应届毕业生优先录取"
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00257326413.htm,数据分析助理,北京,6000-10000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"1、年龄18-35岁，五官端正，普通话标准，性格开朗，善于沟通；
2、具备一定的学习能力、执行能力、能够迅速熟练使用公司的办公软件；
4、团结同事，不怕吃苦，有较强的抗压能力；
5、能及时、准确、圆满、出色的完成本职工作以及领导交给的其它工作；
6、工作有条理性、细致认真，谨慎细心，责任心强，有工作激情；
7、具有良好的职业素养和职业操守，严格遵守公司每项规章制度；
8、接受大学生在校实习、退伍军人与应届毕业生优先录取"
北京博奥麦斯生物技术有限公司,https://jobs.zhaopin.com/CC294646680J00139398911.htm,数据分析员,北京,4001-6000元/月,不限,"学术/科研,检验/检测/认证",20-99人,"岗位职责：
1. 按照[联系人已脱敏]务根据相应分析流程进行数据分析、撰写报告；
2. 及时反馈分析过程中出现的问题，分析并提出解决方案；
3. 为客户及销售提供相关技术支持；
4. 主动学习工作所需的各种新技能；
5. 定期向上级汇报工作进程；
6. 服从领导的工作安排。
任职要求：
1. 生物医药、数学、计算机等相关专业，本科及以上学历；
2. 具有较强的英语阅读能力，热爱生物信息分析工作；
3. 有较强的数据处理、逻辑分析能力和文字表达能力；
4. 吃苦耐劳，做事踏实仔细，具有较强的动手能力、学习创新能力、良好的沟通协调能力；
5. 能熟练使用Perl、R、Python等其中一种编程语言者优先；熟悉常用生物信息学软件及数据库、具有高通量测序信息分析或计算机编程项目经验者优先。"
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00257473713.htm,数据分析师,北京,8000-15000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通；
2、为人诚实，具有责任心、上进心，较强的执行力。
3、接受大学生在校实习、退伍军人与应届毕业生优先录取"
北京君业伟合科技有限公司,https://jobs.zhaopin.com/CC881884330J00274645613.htm,数据分析员,北京,6000-12000元/月,不限,,20-99人,"1、品貌端正，普通话标准；
2、良好的计划、执行、沟通、协调能力；
3、能够承受工作压力，有较好的团队合作意识；
4、有行业工作经验者优先。
员工福利：
1、五险一金 朝九晚五 六日双休 食宿补助 交通补助；
2、每年不定期多次带薪休假，每月享有带薪病假，休息时也会有工资拿；
3、公司每年组织员工境外或境内旅游，专属每位员工的生日派对、礼物；
4、全体员工享有带薪婚假、病假、产假。休息时工资照常发放；
5、公司为每位员工提供生日惊喜，[联系方式已脱敏]，生日礼物等；"
亿家宏业(北京)信息咨询有限公司,https://jobs.zhaopin.com/CC890266710J00241124615.htm,金融数据分析师/金融二级研究专员/金融市场策划师,北京,15001-20000元/月,1-3年,基金/证券/期货/投资,100-499人,任职要求： 1、年龄：20-45岁，五官端正，性格开朗，善于沟通； 2、为人诚实，具有责任心、上进心，较强的执行力。 3、接受大学生在校实习、退伍军人与应届毕业生优先录取；提供岗前培训； 4、认真实践备入职前的试岗培训； 5、有相关工作经验者、相关专业、有从业相关证件者优先录取； 6、热爱行业，有励志于长期发展这个行业的意愿，接受专业学习培训和模拟训练； 7、以协助公司持续稳定盈利为最高目标，有志成为业内精英人才； 8、敢于迎接挑战、不怕辛苦、积极完成公司交赋的工作任务； 9、认同公司的发展理念，愿意与公司共同发展，具有很强的工作责任心和团队合作精神； 10、对行业和理财有浓厚的兴趣及意愿，致力于把行业作为事业发展方向。 岗位职责： 1、搜集行业相关信息，为相关需求者提供更准确的数据信息； 2、协助部门[联系人已脱敏]管理制度； 4、对基本面、技术面进行分析研究，给出走势分析和判断，撰写研究报告上交公司； 5、分析走势，为相关部门提供有价值的信息； 6、丰富市场分析能力，做出每日分析计划，熟练掌握各种分析技术； 7、定期为公司提供市场最新趋势； 8、结合多种数据源进行深度分析和挖掘； 9、对货币市场数据进行量化分析，并推动研究成果的信息化、互联网化； 10、对市场、行业、公司运营等提供数据分析计划，为战略决策提供支持； 11、发表研究成果或分析评论，配合公司的推广及培训等工作。 薪资待遇： 入门分析师：无责底薪6K-10K+利润提成10%-30% 资深分析师：无责底薪10K-15K+利润提成10%-40% 首席分析师：无责底薪15K-20K+利润提成20%-40% [联系人已脱敏]：无责底薪15K-25K+团队业绩提成+团队分红 员工福利： 1、五险一金 朝九晚五 六日双休 食宿补助 交通补助； 2、每年不定期多次带薪休假，每月享有带薪病假，休息时也会有工资拿； 3、弹性的工作时间，让你工作自由安排；提供各种高大上下午茶及零食； 4、公司每年组织员工境外或境内旅游，专属每位员工的生日派对、礼物； 5、全体员工享有带薪婚假、病假、产假。休息时工资照常发放； 6、公司为每位员工提供生日惊喜，[联系方式已脱敏]，生日礼物等； 7、全体员工每年享受两次公费境内旅游，优秀员工一次境外旅游； 8、下班后一起狼人杀、带你上王者、带你去吃鸡； 9、神一般的队友，激情四溢朝气蓬勃的团队工作氛围； 10、各种高端大气上档次的团队建设、野外拓展； 11、年会时井喷式发放各种奖品、奖金、拿到你手软； 晋升空间： 1、公司有广阔的晋升空间，薪资晋升、职位晋升；可纵向、横向晋升； 2、公司会有相关制度上的考核，每季度可进行一次晋升考核； 3、根据个人日常工作表现、学习能力、工作能力、工作态度、执行能力、考勤制度而定； 4、能力达到岗位标准时，公司会着重培养管理能力，为其组建团队，培养人才； 5、根据职位的晋升，薪资也会有相应的涨幅，具体需参考入职公司后的日常表现以及工作能力；
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00229697713.htm,金融数据分析师助理,北京,8001-10000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通；
2、为人诚实，具有责任心、上进心，较强的执行力。
3、接受大学生在校实习、退伍军人与应届毕业生优先录取；

4、有相关工作经验者、相关专业、有从业相关证件者优先录取；
岗位职责：
1、搜集行业相关信息，为相关需求者提供更准确的数据信息；
2、协助部门[联系人已脱敏]管理制度；
3、定期为公司提供市场最新趋势；
4、结合多种数据源进行深度分析和挖掘；"
北京顶石基金管理有限公司,https://jobs.zhaopin.com/CC881884330J00257329313.htm,数据分析员,北京,8000-15000元/月,不限,"基金/证券/期货/投资,电子技术/半导体/集成电路,互联网/电子商务",100-499人,"1、年龄18-35岁，五官端正，普通话标准，性格开朗，善于沟通；
2、具备一定的学习能力、执行能力、能够迅速熟练使用公司的办公软件；
4、团结同事，不怕吃苦，有较强的抗压能力；
5、能及时、准确、圆满、出色的完成本职工作以及领导交给的其它工作；
6、工作有条理性、细致认真，谨慎细心，责任心强，有工作激情；"
北京君业伟合科技有限公司,https://jobs.zhaopin.com/CC881884330J00285736313.htm,数据分析师,北京,8000-15000元/月,不限,,20-99人,"任职要求：
1、年龄：20-45岁，五官端正，性格开朗，善于沟通；
2、为人诚实，具有责任心、上进心，较强的执行力。
3、接受大学生在校实习、退伍军人与应届毕业生优先录取；
4、有相关工作经验者、相关专业、有从业相关证件者优先录取；"
